Conditions,,,Comfort,,,,,
19:30,,24 °C,Passing clouds.,7 km/h,↑,89%,1011 mbar,5 km
20:00,,24 °C,Passing clouds.,7 km/h,↑,89%,1012 mbar,5 km
20:30,,24 °C,Passing clouds.,7 km/h,↑,89%,1012 mbar,5 km
21:00,,24 °C,Passing clouds.,7 km/h,↑,89%,1012 mbar,5 km
21:30,,24 °C,Passing clouds.,6 km/h,↑,89%,1013 mbar,5 km
22:00,,24 °C,Passing clouds.,6 km/h,↑,89%,1013 mbar,5 km
,,,,,,,,
Conditions,,,Comfort,,,,,
Time,,Temp,Weather,Wind,,Humidity,Barometer,Visibility
"07:00
Tue, 16 Nov",,22 °C,Fog.,7 km/h,↑,94%,1013 mbar,3 km
7:30,,22 °C,Fog.,7 km/h,↑,94%,1013 mbar,3 km
8:00,,22 °C,Fog.,7 km/h,↑,94%,1013 mbar,3 km
8:30,,23 °C,Broken clouds.,7 km/h,↑,94%,1013 mbar,4 km
9:00,,23 °C,Broken clouds.,7 km/h,↑,94%,1014 mbar,4 km
9:30,,23 °C,Broken clouds.,7 km/h,↑,94%,1014 mbar,4 km
10:00,,23 °C,Broken clouds.,7 km/h,↑,94%,1014 mbar,4 km
10:30,,25 °C,Broken clouds.,7 km/h,↑,83%,1014 mbar,4 km
11:00,,24 °C,Broken clouds.,7 km/h,↑,89%,1014 mbar,4 km
11:30,,24 °C,Partly sunny.,9 km/h,↑,89%,1014 mbar,4 km
12:00,,24 °C,Broken clouds.,7 km/h,↑,89%,1013 mbar,4 km
12:40,,25 °C,Broken clouds.,7 km/h,↑,83%,1012 mbar,4 km
13:30,,26 °C,Broken clouds.,9 km/h,↑,79%,1011 mbar,4 km
14:00,,26 °C,Scattered clouds.,7 km/h,↑,79%,1011 mbar,4 km
14:30,,26 °C,Broken clouds.,6 km/h,↑,79%,1011 mbar,4 km
15:00,,26 °C,Drizzle. Broken clouds.,6 km/h,↑,79%,1010 mbar,5 km
15:30,,25 °C,Broken clouds.,4 km/h,↑,83%,1010 mbar,5 km
16:00,,26 °C,Broken clouds.,7 km/h,↑,79%,1010 mbar,5 km
16:30,,26 °C,Broken clouds.,6 km/h,↑,79%,1010 mbar,5 km
17:00,,25 °C,Broken clouds.,6 km/h,↑,83%,1010 mbar,5 km
17:30,,25 °C,Broken clouds.,4 km/h,↑,83%,1011 mbar,5 km
18:00,,25 °C,Broken clouds.,6 km/h,↑,83%,1012 mbar,5 km
19:00,,24 °C,Partly cloudy.,6 km/h,↑,89%,1013 mbar,5 km
19:30,,23 °C,Partly cloudy.,6 km/h,↑,100%,1013 mbar,6 km
20:00,,23 °C,Partly cloudy.,No wind,↑,94%,1013 mbar,6 km
20:30,,22 °C,Partly cloudy.,4 km/h,↑,100%,1014 mbar,6 km
21:00,,22 °C,Partly cloudy.,6 km/h,↑,100%,1014 mbar,6 km
21:30,,22 °C,Partly cloudy.,4 km/h,↑,100%,1014 mbar,6 km
,,,,,,,,
,Conditions,,,Comfort,,,,
Time,,Temp,Weather,Wind,,Humidity,Barometer,Visibility
"15:30
Wed, 17 Nov",,27 °C,Scattered clouds.,7 km/h,↑,74%,1012 mbar,6 km
16:00,,26 °C,Scattered clouds.,6 km/h,↑,79%,1012 mbar,6 km
16:30,,26 °C,Scattered clouds.,6 km/h,↑,79%,1012 mbar,6 km
17:00,,26 °C,Scattered clouds.,7 km/h,↑,79%,1012 mbar,6 km
17:30,,25 °C,Scattered clouds.,6 km/h,↑,83%,1013 mbar,6 km
18:00,,25 °C,Scattered clouds.,6 km/h,↑,83%,1013 mbar,6 km
18:30,,25 °C,Passing clouds.,6 km/h,↑,83%,1014 mbar,6 km
19:00,,25 °C,Passing clouds.,6 km/h,↑,83%,1014 mbar,6 km
19:30,,24 °C,Passing clouds.,6 km/h,↑,89%,1015 mbar,6 km
20:00,,24 °C,Passing clouds.,6 km/h,↑,89%,1015 mbar,6 km
20:30,,23 °C,Passing clouds.,6 km/h,↑,94%,1015 mbar,6 km
21:00,,23 °C,Passing clouds.,6 km/h,↑,89%,1015 mbar,6 km
21:30,,23 °C,Passing clouds.,6 km/h,↑,94%,1016 mbar,6 km
22:00,,23 °C,Passing clouds.,6 km/h,↑,94%,1015 mbar,6 km
,,,,,,,,
,,,,,,,,
Conditions,,,Comfort,,,,,
Time,,Temp,Weather,Wind,,Humidity,Barometer,Visibility
"07:30
Thu, 18 Nov",,22 °C,Broken clouds.,No wind,↑,100%,1015 mbar,4 km
8:00,,23 °C,Fog.,2 km/h,↑,100%,1015 mbar,4 km
9:00,,24 °C,Fog.,No wind,↑,89%,1016 mbar,4 km
9:30,,24 °C,Fog.,2 km/h,↑,89%,1016 mbar,4 km
10:00,,24 °C,Fog.,2 km/h,↑,89%,1016 mbar,4 km
10:30,,25 °C,Fog.,2 km/h,↑,83%,1016 mbar,4 km
11:00,,25 °C,Broken clouds.,4 km/h,↑,83%,1015 mbar,5 km
11:30,,25 °C,Broken clouds.,4 km/h,↑,83%,1014 mbar,5 km
12:00,,25 °C,Drizzle. More clouds than sun.,4 km/h,↑,89%,1014 mbar,5 km
12:30,,24 °C,Drizzle. More clouds than sun.,2 km/h,↑,94%,1013 mbar,5 km
13:00,,24 °C,Drizzle. More clouds than sun.,4 km/h,↑,94%,1012 mbar,4 km
13:30,,24 °C,Drizzle. More clouds than sun.,4 km/h,↑,94%,1011 mbar,4 km
14:00,,25 °C,Drizzle. More clouds than sun.,4 km/h,↑,89%,1011 mbar,4 km
14:30,,25 °C,More clouds than sun.,6 km/h,↑,89%,1010 mbar,4 km
15:00,,25 °C,More clouds than sun.,6 km/h,↑,89%,1011 mbar,4 km
15:30,,25 °C,More clouds than sun.,6 km/h,↑,89%,1010 mbar,4 km
16:00,,26 °C,More clouds than sun.,6 km/h,↑,84%,1010 mbar,4 km
16:30,,26 °C,More clouds than sun.,6 km/h,↑,84%,1010 mbar,4 km
17:00,,25 °C,More clouds than sun.,6 km/h,↑,83%,1010 mbar,4 km
18:30,,24 °C,Partly cloudy.,6 km/h,↑,83%,1011 mbar,4 km
19:00,,23 °C,Partly cloudy.,6 km/h,↑,89%,1011 mbar,4 km
19:30,,23 °C,Partly cloudy.,6 km/h,↑,89%,1011 mbar,4 km
20:00,,23 °C,Partly cloudy.,6 km/h,↑,89%,1012 mbar,4 km
20:30,,23 °C,Partly cloudy.,6 km/h,↑,83%,1013 mbar,4 km
21:00,,22 °C,Partly cloudy.,6 km/h,↑,88%,1013 mbar,4 km
21:30,,22 °C,Partly cloudy.,6 km/h,↑,88%,1013 mbar,4 km
22:00,,22 °C,Partly cloudy.,6 km/h,↑,94%,1013 mbar,4 km
22:30,,22 °C,Partly cloudy.,6 km/h,↑,94%,1013 mbar,4 km
23:00,,22 °C,Partly cloudy.,6 km/h,↑,94%,1013 mbar,4 km
23:30,,22 °C,Partly cloudy.,6 km/h,↑,94%,1013 mbar,4 km
,,,,,,,,
,Conditions,,,Comfort,,,,
Time,,Temp,Weather,Wind,,Humidity,Barometer,Visibility
"00:00
Fri, 19 Nov",,22 °C,Partly cloudy.,6 km/h,↑,94%,1012 mbar,4 km
7:00,,21 °C,Broken clouds.,2 km/h,↑,100%,1012 mbar,4 km
7:30,,21 °C,Broken clouds.,4 km/h,↑,100%,1012 mbar,4 km
8:00,,22 °C,Broken clouds.,6 km/h,↑,100%,1012 mbar,4 km
8:30,,22 °C,Broken clouds.,6 km/h,↑,100%,1012 mbar,4 km
9:00,,23 °C,Broken clouds.,6 km/h,↑,94%,1013 mbar,5 km
10:00,,24 °C,Broken clouds.,4 km/h,↑,89%,1013 mbar,5 km
10:30,,24 °C,Broken clouds.,7 km/h,↑,83%,1013 mbar,5 km
11:00,,22 °C,Drizzle. More clouds than sun.,4 km/h,↑,100%,1012 mbar,4 km
11:30,,22 °C,Drizzle. More clouds than sun.,6 km/h,↑,100%,1012 mbar,4 km
12:00,,23 °C,Drizzle. More clouds than sun.,9 km/h,↑,94%,1011 mbar,4 km
12:30,,23 °C,Drizzle. More clouds than sun.,6 km/h,↑,94%,1010 mbar,4 km
13:00,,24 °C,Broken clouds.,6 km/h,↑,89%,1010 mbar,5 km
13:30,,25 °C,Broken clouds.,9 km/h,↑,83%,1009 mbar,6 km
14:00,,26 °C,Broken clouds.,9 km/h,↑,79%,1009 mbar,6 km
14:30,,25 °C,Broken clouds.,9 km/h,↑,83%,1009 mbar,6 km
15:00,,25 °C,Broken clouds.,9 km/h,↑,83%,1008 mbar,6 km
15:30,,24 °C,Broken clouds.,9 km/h,↑,89%,1008 mbar,6 km
16:00,,24 °C,Broken clouds.,9 km/h,↑,89%,1008 mbar,6 km
16:30,,24 °C,Broken clouds.,9 km/h,↑,89%,1008 mbar,6 km
17:00,,24 °C,Broken clouds.,6 km/h,↑,89%,1008 mbar,6 km
17:30,,23 °C,Broken clouds.,9 km/h,↑,94%,1009 mbar,6 km
18:00,,23 °C,Broken clouds.,9 km/h,↑,89%,1009 mbar,6 km
18:30,,23 °C,Partly cloudy.,9 km/h,↑,89%,1009 mbar,6 km
19:00,,22 °C,Partly cloudy.,6 km/h,↑,94%,1010 mbar,6 km
19:30,,22 °C,Partly cloudy.,No wind,↑,94%,1010 mbar,5 km
20:00,,22 °C,Partly cloudy.,9 km/h,↑,94%,1010 mbar,5 km
20:30,,22 °C,Partly cloudy.,9 km/h,↑,94%,1011 mbar,5 km
21:00,,22 °C,Partly cloudy.,4 km/h,↑,94%,1011 mbar,5 km
21:30,,22 °C,Partly cloudy.,4 km/h,↑,94%,1011 mbar,5 km
,,,,,,,,
,Conditions,,,Comfort,,,,
Time,,Temp,Weather,Wind,,Humidity,Barometer,Visibility
"08:30
Sat, 20 Nov",,21 °C,Drizzle. Fog.,6 km/h,↑,100%,1012 mbar,3 km
9:00,,21 °C,Drizzle. Fog.,4 km/h,↑,100%,1013 mbar,3 km
9:30,,21 °C,Drizzle. Fog.,4 km/h,↑,100%,1013 mbar,3 km
10:00,,21 °C,Light rain. Fog.,2 km/h,↑,100%,1013 mbar,3 km
10:30,,22 °C,Drizzle. Fog.,4 km/h,↑,100%,1013 mbar,3 km
11:00,,21 °C,Drizzle. Cloudy.,4 km/h,↑,100%,1013 mbar,4 km
11:30,,23 °C,Scattered clouds.,4 km/h,↑,100%,1012 mbar,4 km
12:00,,23 °C,Scattered clouds.,4 km/h,↑,100%,1012 mbar,5 km
12:30,,23 °C,Scattered clouds.,6 km/h,↑,100%,1011 mbar,5 km
13:00,,24 °C,Scattered clouds.,6 km/h,↑,94%,1010 mbar,5 km
13:30,,24 °C,Scattered clouds.,6 km/h,↑,89%,1010 mbar,5 km
14:00,,25 °C,Scattered clouds.,6 km/h,↑,83%,1010 mbar,5 km
14:30,,24 °C,Scattered clouds.,6 km/h,↑,89%,1010 mbar,5 km
15:00,,21 °C,Broken clouds.,9 km/h,↑,94%,1010 mbar,5 km
15:30,,21 °C,Rain. More clouds than sun.,6 km/h,↑,94%,1010 mbar,3 km
16:00,,22 °C,Light rain. More clouds than sun.,6 km/h,↑,94%,1010 mbar,3 km
16:30,,22 °C,More clouds than sun.,9 km/h,↑,94%,1010 mbar,5 km
17:00,,22 °C,More clouds than sun.,9 km/h,↑,94%,1010 mbar,5 km
18:00,,22 °C,Broken clouds.,6 km/h,↑,94%,1011 mbar,5 km
18:30,,21 °C,Partly cloudy.,No wind,↑,94%,1011 mbar,5 km
19:00,,21 °C,Partly cloudy.,9 km/h,↑,94%,1011 mbar,5 km
19:30,,21 °C,Partly cloudy.,9 km/h,↑,94%,1012 mbar,5 km
20:00,,21 °C,Partly cloudy.,9 km/h,↑,94%,1012 mbar,5 km
20:30,,21 °C,Partly cloudy.,9 km/h,↑,94%,1012 mbar,5 km
21:00,,21 °C,Partly cloudy.,9 km/h,↑,94%,1013 mbar,5 km
21:30,,21 °C,Partly cloudy.,9 km/h,↑,94%,1013 mbar,5 km
,,,,,,,,
,Conditions,,,Comfort,,,,
Time,,Temp,Weather,Wind,,Humidity,Barometer,Visibility
"07:00
Sun, 21 Nov",,21 °C,Drizzle. More clouds than sun.,6 km/h,↑,100%,1013 mbar,4 km
7:30,,21 °C,Drizzle. More clouds than sun.,6 km/h,↑,94%,1014 mbar,4 km
8:00,,21 °C,Drizzle. More clouds than sun.,4 km/h,↑,100%,1014 mbar,4 km
8:12,,21 °C,Drizzle. Fog.,6 km/h,↑,100%,1015 mbar,2 km
8:30,,21 °C,Drizzle. Fog.,6 km/h,↑,94%,1015 mbar,2 km
9:00,,21 °C,Drizzle. Broken clouds.,4 km/h,↑,100%,1015 mbar,4 km
9:30,,21 °C,Drizzle. Broken clouds.,4 km/h,↑,100%,1015 mbar,4 km
10:00,,21 °C,Drizzle. Partly sunny.,4 km/h,↑,100%,1015 mbar,4 km
10:30,,22 °C,Drizzle. Partly sunny.,6 km/h,↑,100%,1015 mbar,4 km
11:00,,22 °C,Broken clouds.,6 km/h,↑,100%,1015 mbar,4 km
11:30,,23 °C,Broken clouds.,7 km/h,↑,94%,1014 mbar,4 km
12:00,,23 °C,Broken clouds.,6 km/h,↑,100%,1014 mbar,5 km
12:30,,24 °C,Broken clouds.,4 km/h,↑,94%,1014 mbar,5 km
13:30,,24 °C,Broken clouds.,6 km/h,↑,94%,1013 mbar,5 km
14:00,,25 °C,Broken clouds.,4 km/h,↑,89%,1013 mbar,5 km
14:30,,24 °C,Broken clouds.,6 km/h,↑,89%,1013 mbar,5 km
15:00,,23 °C,Broken clouds.,9 km/h,↑,94%,1012 mbar,5 km
15:30,,23 °C,Broken clouds.,9 km/h,↑,94%,1012 mbar,5 km
16:00,,23 °C,Rain. More clouds than sun.,6 km/h,↑,94%,1013 mbar,3 km
16:30,,21 °C,Light rain. More clouds than sun.,6 km/h,↑,94%,1013 mbar,3 km
17:00,,22 °C,Light rain. More clouds than sun.,9 km/h,↑,94%,1013 mbar,5 km
17:30,,22 °C,Broken clouds.,4 km/h,↑,94%,1013 mbar,5 km
18:00,,22 °C,Broken clouds.,No wind,↑,94%,1014 mbar,5 km
18:30,,22 °C,Partly cloudy.,6 km/h,↑,94%,1014 mbar,5 km
19:00,,22 °C,Partly cloudy.,9 km/h,↑,94%,1015 mbar,5 km
19:30,,22 °C,Partly cloudy.,9 km/h,↑,94%,1015 mbar,5 km
20:00,,22 °C,Partly cloudy.,9 km/h,↑,94%,1015 mbar,5 km
20:30,,22 °C,Partly cloudy.,6 km/h,↑,94%,1016 mbar,5 km
21:00,,22 °C,Partly cloudy.,9 km/h,↑,94%,1016 mbar,5 km
21:30,,21 °C,Partly cloudy.,6 km/h,↑,94%,1016 mbar,5 km
22:00,,21 °C,Partly cloudy.,6 km/h,↑,94%,1016 mbar,5 km
22:30,,21 °C,Partly cloudy.,6 km/h,↑,94%,1016 mbar,5 km
,,,,,,,,
,Conditions,,,Comfort,,,,
Time,,Temp,Weather,Wind,,Humidity,Barometer,Visibility
"07:00
Mon, 22 Nov",,21 °C,Fog.,2 km/h,↑,94%,1016 mbar,3 km
7:30,,21 °C,Fog.,2 km/h,↑,94%,1017 mbar,3 km
8:00,,21 °C,Fog.,2 km/h,↑,100%,1017 mbar,3 km
8:30,,22 °C,Fog.,2 km/h,↑,100%,1017 mbar,4 km
9:00,,22 °C,Broken clouds.,2 km/h,↑,100%,1018 mbar,5 km
9:30,,24 °C,Broken clouds.,4 km/h,↑,94%,1018 mbar,5 km
10:00,,26 °C,Partly sunny.,4 km/h,↑,84%,1018 mbar,6 km
10:30,,26 °C,Scattered clouds.,6 km/h,↑,84%,1017 mbar,6 km
11:00,,25 °C,Scattered clouds.,6 km/h,↑,89%,1017 mbar,6 km
11:30,,26 °C,Scattered clouds.,6 km/h,↑,84%,1017 mbar,6 km
