S.NO,EMAIL FROM,REPLY-TO,TO,DATE,TIME,SUBJECT,MAILING LIST,MAILED -BY,SUBSCRIBED OR NOT,NO.OF ATTATCHCHMENT FILES,CC,signed by,,
36,'Director Student Welfare' via 19bds@vitstudent.ac.in <19bds@vitstudent.ac.in>,director.sw@vit.ac.in,allstudents.vellore@vit.ac.in,Nov-14,03:01 PM,Quanta- Day-2 Session 4&5 -links,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
37,'Director Student Welfare' via 19bds@vitstudent.ac.in,director.sw@vit.ac.in,"allstudents.vellore@vit.ac.in,allvitians.vellore@vit.ac.in",Nov-15,07:20 AM,15th November - Today's Online events by Clubs and Chapters-reg,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
38,"'Dr.C.Vijay Kumar, Director (IR)' via 19bds@vitstudent.ac.in",director.ir@vit.ac.in,"allstudents.vellore@vit.ac.in,allstudents.chennai@vit.ac.in,irc@vitbhopal.ac.in",Nov-15,09:54 AM,"Re: Webinar by Dartmouth College, USA on 16 November 2021",19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
39,"'Dr.C.Vijay Kumar, Director (IR)' via 19bds@vitstudent.ac.in",director.ir@vit.ac.in,"allstudents.vellore@vit.ac.in,allstudents.chennai@vit.ac.in",Nov-15,06:00 PM,Information Session by the Columbia University in the City of New York,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
40,'VITTBI Vellore' via 19bds@vitstudent.ac.in,vittbi@vit.ac.in,allstudents.vellore@vit.ac.in,Nov-15,11:02 AM,FW: Internship opportunities in DorkLab - startup project under pre-incubation at VITTBI,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
41,'VIT Placement' via 19bds@vitstudent.ac.in,placement@vit.ac.in,"allstudents.chennai,allstudents.vellore",Nov-15,12:44 PM,CLiQ & Create - Your Chance to Click in the Reel Life | Tata CLiQ,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
42,'VITTBI Vellore' via 19bds@vitstudent.ac.in,vittbi@vit.ac.in,allstudents.vellore@vit.ac.in,Nov-15,02:32 PM,FW: CALL FOR GRAPHIC DESIGNERS VIT : House Of Babas,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
43,'VITTBI Vellore' via 19bds@vitstudent.ac.in,vittbi@vit.ac.in,"allstudents.vellore@vit.ac.in,allra@vit.ac.in",Nov-15,03:38 PM,FW: Online workshop on Genomic Data Analysis on 4th Dec'21 - VITTBI,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
45,Priyanka Sahai <contact@emailer.codingninjas.in>,contact@codingninjas.com,kothabrinda.vivek2019@vitstudent.ac.in,Nov-15,08:13 PM,No Fee November is here!,,amazonses.com,yes,0,,emailer.codingninjas.in,,
46,Vik Paruchuri <vikp@dataquest.io>,vikp@dataquest.io,kothabrinda.vivek2019@vitstudent.ac.in,Nov-15,10:54 PM,Celebrating 7 years of building Dataquest - What I've learned,bounces.dataquest.io,,yes,0,,em.dataquest.io0,,
47,"'Asst. Director, Systems' via 19bds@vitstudent.ac.in",ad.systems@vit.ac.in,"allfaculty@vit.ac.in,allstudents.vellore@vit.ac.in",Nov-16,10:02 AM,MS Teams Toolbar Issues,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
48,"'Dr.C.Vijay Kumar, Director (IR)' via 19bds@vitstudent.ac.in",director.ir@vit.ac.in,"allstudents.vellore@vit.ac.in,allstudents.chennai@vit.ac.in",Nov-16,12:28 PM,Fw: Webinar by Radboud University Netherlands -17 Nov 2021 at 11 a.m.,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
49,'Director Student Welfare' via 19bds@vitstudent.ac.in,director.sw@vit.ac.in,allstudents.vellore@vit.ac.i,Nov-17,07:39 AM,17th November - Today's Online events by Clubs and Chapters-reg,19bds@vitstudent.ac.in,vitstudent.ac.in,no,2,,,,
50,'VITTBI Vellore' via 19bds@vitstudent.ac.in,vittbi@vit.ac.in,allstudents.vellore@vit.ac.in,Nov-17,09:47 AM,FW: Invitation for Engineering Students Festival 2021,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
51,'Chairperson VITBS' via 19bds@vitstudent.ac.in,chairperson.vitbs@vit.ac.in,allstudents.vellore@vit.ac.in,Nov-17,09:49 AM,Industry expert from Sigapore - Guest Lecture Invite,19bds@vitstudent.ac.in,vitstudent.ac.in,no,1,,,,
52,'Dean SMEC' via 19bds@vitstudent.ac.in,dean.smec@vit.ac.in,allstudents.vellore@vit.ac.in,Nov-17,04:58 PM,Fw: Student achievement : 3rd position in Eureka-Varroc's idea generation competition 2021,19bds@vitstudent.ac.in,vitstudent.ac.in,no,6,,,,
53,'Dean Academics' via 19bds@vitstudent.ac.in,dean.acad@vit.ac.in,allstudents.vellore@vit.ac.in,Nov-17,06:26 PM,IMPORTANT: VTOP Service Interruption from 28th Nov. to 30th Nov. 2021,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
54,Coding Ninjas <contact@emailer.codingninjas.in>,,kothabrinda.vivek2019@vitstudent.ac.in,Nov-17,07:06 PM,Career Camp - India’s Largest Coding Bootcamp. Enroll Now!,,amazonses.com,yes,0,,emailer.codingninjas.in,,
55,Kaggle <noreply@kaggle.com>,noreply@kaggle.com,kothabrinda.vivek2019@vitstudent.ac.in,Nov-18,12:14 AM,Competition Launch: Jigsaw Rate Severity of Toxic Comments,d3d572f2a797bc005fbf0c631ac17de03856ef11.google.com,scoutcamp.bounces.google.com,yes,0,,kaggle.com,,
56,'Director Student Welfare' via 19bds@vitstudent.ac.in,director.sw@vit.ac.in,allstudents.vellore@vit.ac.in,Nov-18,07:41 AM,18th November - Today's Online events by Clubs and Chapters-reg,19bds@vitstudent.ac.i,vitstudent.ac.in,no,0,,,,
57,'Dean Academics' via 19bds@vitstudent.ac.in,dean.acad@vit.ac.in,allstudents.vellore@vit.ac.in,Nov-18,10:08 AM,Applying for Re-CAT - I (Freshers) and ReCAT - II (Seniors) - date extended,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
58,'Dean SELECT' via 19bds@vitstudent.ac.in,dean.select@vit.ac.in,allfaculty@vit.ac.in,Nov-18, 6:00 PM,Guest Lecture on Machine Learning,19bds@vitstudent.ac.in,vitstudent.ac.in,no,1,,,,
59,'Director Student Welfare' via 19bds@vitstudent.ac.in,director.sw@vit.ac.in,allstudents.vellore@vit.ac.in,Nov-18,07:17 PM,Clubs & Chapters Technical Events: Yantra -Reg,,19bds@vitstudent.ac.in,no,1,,,,
60,Kaggle <noreply@kaggle.com>,noreply@kaggle.com,kothabrinda.vivek2019@vitstudent.ac.in,Nov-18,11:37 PM,Competition Launch: Jigsaw Rate Severity of Toxic Comments,d3d572f2a797bc005fbf0c631ac17de03856ef11.google.com,scoutcamp.bounces.google.com,yes,0,,kaggle.com,,
61,'Director Student Welfare' via 19bds@vitstudent.ac.in,director.sw@vit.ac.i,allstudents.vellore@vit.ac.in,Nov-20,08:02 AM,20th November - Today's Online events by Clubs and Chapters-reg,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,spam
62,'Director Student Welfare' via 19bds@vitstudent.ac.in,director.sw@vit.ac.i,allstudents.vellore@vit.ac.in,Nov-20,08:16 AM,Yantra 20th events-reg,19bds@vitstudent.ac.in,,no,0,,,,spam
