Time,Date,Temp,Weather,Wind,Humidity,Chance
10,11/17/2021,23ʡC,Sunny,14 km/h,52%,0%
11,11/17/2021,24ʡC,Sunny,14 km/h,49%,0%
12,11/17/2021,26ʡC,Sunny,14 km/h,47%,0%
13,11/17/2021,27ʡC,Sunny,13 km/h,47%,0%
14,11/17/2021,27ʡC,Sunny,13 km/h,47%,0%
15,11/17/2021,28ʡC,Sunny,12 km/h,48%,0%
16,11/17/2021,27ʡC,Sunny,12 km/h,51%,0%
17,11/17/2021,25ʡC,Sunny,11 km/h,58%,0%
18,11/17/2021,24ʡC,Clear,10 km/h,60%,0%
19,11/17/2021,22ʡC,Clear,10 km/h,64%,0%
20,11/17/2021,22ʡC,Cloudy,11 km/h,67%,0%
21,11/17/2021,21ʡC,Cloudy,10 km/h,69%,0%
22,11/17/2021,20ʡC,Cloudy,10 km/h,69%,0%
23,11/17/2021,20ʡC,Cloudy,10 km/h,70%,0%
0,11/18/2021,19ʡC,Cloudy,10 km/h,71%,0%
1,11/18/2021,19ʡC,Cloudy,10 km/h,72%,0%
2,11/18/2021,18ʡC,Cloudy,9 km/h,73%,0%
3,11/18/2021,18ʡC,Cloudy,9 km/h,74%,0%
4,11/18/2021,18ʡC,Cloudy,9 km/h,73%,0%
5,11/18/2021,18ʡC,Cloudy,10 km/h,74%,0%
6,11/18/2021,18ʡC,Sunny,10 km/h,74%,0%
7,11/18/2021,19ʡC,Sunny,12 km/h,71%,0%
8,11/18/2021,20ʡC,Sunny,13 km/h,65%,0%
9,11/18/2021,22ʡC,Sunny,12 km/h,61%,0%
10,11/18/2021,24ʡC,Sunny,12 km/h,57%,0%
11,11/18/2021,26ʡC,Sunny,12 km/h,55%,0%
12,11/18/2021,27ʡC,Sunny,11 km/h,53%,0%
13,11/18/2021,28ʡC,Sunny,10 km/h,52%,0%
14,11/18/2021,28ʡC,Sunny,10 km/h,53%,0%
15,11/18/2021,28ʡC,Sunny,11 km/h,53%,0%
16,11/18/2021,28ʡC,Sunny,12 km/h,54%,0%
17,11/18/2021,26ʡC,Sunny,12 km/h,60%,0%
18,11/18/2021,25ʡC,Cloudy,12 km/h,62%,0%
19,11/18/2021,24ʡC,Cloudy,11 km/h,65%,0%
20,11/18/2021,23ʡC,Cloudy,11 km/h,67%,0%
21,11/18/2021,22ʡC,Cloudy,10 km/h,70%,0%
22,11/18/2021,22ʡC,Cloudy,9 km/h,71%,0%
23,11/18/2021,21ʡC,Cloudy,9 km/h,73%,0%
0,11/19/2021,21ʡC,Cloudy,9 km/h,74%,0%
1,11/19/2021,21ʡC,Cloudy,9 km/h,75%,1%
2,11/19/2021,20ʡC,Cloudy,9 km/h,75%,1%
3,11/19/2021,20ʡC,Cloudy,10 km/h,74%,1%
4,11/19/2021,20ʡC,Cloudy,11 km/h,72%,0%
5,11/19/2021,19ʡC,Cloudy,11 km/h,70%,0%
6,11/19/2021,19ʡC,Cloudy,11 km/h,69%,0%
7,11/19/2021,19ʡC,Cloudy,12 km/h,66%,0%
8,11/19/2021,20ʡC,Cloudy,13 km/h,61%,0%
9,11/19/2021,23ʡC,Sunny,13 km/h,55%,0%
10,11/19/2021,25ʡC,Sunny,13 km/h,51%,0%
11,11/19/2021,27ʡC,Sunny,13 km/h,48%,0%
12,11/19/2021,28ʡC,Sunny,13 km/h,47%,0%
13,11/19/2021,28ʡC,Sunny,12 km/h,46%,0%
14,11/19/2021,28ʡC,Sunny,11 km/h,48%,0%
15,11/19/2021,28ʡC,Cloudy,11 km/h,49%,0%
16,11/19/2021,27ʡC,Cloudy,11 km/h,52%,0%
17,11/19/2021,26ʡC,Cloudy,11 km/h,56%,0%
18,11/19/2021,25ʡC,Cloudy,11 km/h,55%,0%
19,11/19/2021,24ʡC,Cloudy,11 km/h,52%,0%
20,11/19/2021,23ʡC,Cloudy,11 km/h,50%,0%
21,11/19/2021,21ʡC,Cloudy,11 km/h,51%,0%
22,11/19/2021,20ʡC,Cloudy,11 km/h,53%,0%
23,11/19/2021,19ʡC,Cloudy,11 km/h,55%,0%
0,11/20/2021,19ʡC,Cloudy,11 km/h,54%,0%
1,11/20/2021,19ʡC,Cloudy,11 km/h,54%,0%
2,11/20/2021,19ʡC,Cloudy,11 km/h,55%,0%
3,11/20/2021,19ʡC,Cloudy,10 km/h,55%,0%
4,11/20/2021,19ʡC,Cloudy,10 km/h,57%,0%
5,11/20/2021,18ʡC,Cloudy,9 km/h,59%,0%
6,11/20/2021,18ʡC,Sunny,9 km/h,60%,0%
7,11/20/2021,19ʡC,Sunny,10 km/h,58%,0%
8,11/20/2021,20ʡC,Sunny,10 km/h,56%,0%
9,11/20/2021,22ʡC,Sunny,13 km/h,52%,0%
10,11/20/2021,24ʡC,Sunny,13 km/h,47%,0%
11,11/20/2021,26ʡC,Sunny,14 km/h,45%,0%
12,11/20/2021,26ʡC,Sunny,13 km/h,45%,0%
13,11/20/2021,26ʡC,Sunny,12 km/h,47%,0%
14,11/20/2021,26ʡC,Cloudy,10 km/h,48%,0%
15,11/20/2021,25ʡC,Cloudy,10 km/h,50%,2%
16,11/20/2021,25ʡC,Cloudy,10 km/h,52%,3%
17,11/20/2021,24ʡC,Cloudy,10 km/h,55%,2%
18,11/20/2021,23ʡC,Cloudy,10 km/h,59%,1%
19,11/20/2021,22ʡC,Cloudy,10 km/h,62%,0%
20,11/20/2021,22ʡC,Cloudy,10 km/h,65%,0%
21,11/20/2021,21ʡC,Cloudy,10 km/h,66%,0%
22,11/20/2021,21ʡC,Cloudy,11 km/h,67%,0%
23,11/20/2021,21ʡC,Cloudy,11 km/h,68%,0%
0,11/21/2021,20ʡC,Cloudy,11 km/h,70%,1%
1,11/21/2021,20ʡC,Cloudy,10 km/h,72%,2%
2,11/21/2021,20ʡC,Cloudy,10 km/h,73%,3%
3,11/21/2021,20ʡC,Cloudy,9 km/h,74%,3%
4,11/21/2021,19ʡC,Cloudy,9 km/h,77%,3%
5,11/21/2021,18ʡC,Cloudy,9 km/h,78%,3%
6,11/21/2021,18ʡC,Cloudy,9 km/h,80%,3%
7,11/21/2021,18ʡC,Cloudy,10 km/h,78%,5%
8,11/21/2021,20ʡC,Cloudy,12 km/h,73%,6%
10,11/21/2021,25ʡC,Sunny,12 km/h,57%,0%
11,11/21/2021,26ʡC,Sunny,12 km/h,56%,0%
12,11/21/2021,27ʡC,Sunny,11 km/h,55%,0%
13,11/21/2021,28ʡC,Sunny,10 km/h,54%,0%
14,11/21/2021,28ʡC,Sunny,9 km/h,55%,0%
15,11/21/2021,28ʡC,Sunny,9 km/h,56%,0%
16,11/21/2021,28ʡC,Sunny,10 km/h,58%,0%
17,11/21/2021,26ʡC,Sunny,9 km/h,63%,0%
18,11/21/2021,26ʡC,Cloudy,8 km/h,66%,0%
19,11/21/2021,24ʡC,Cloudy,6 km/h,70%,0%
20,11/21/2021,23ʡC,Cloudy,6 km/h,74%,0%
21,11/21/2021,22ʡC,Cloudy,7 km/h,75%,0%
22,11/21/2021,22ʡC,Cloudy,8 km/h,73%,0%
23,11/21/2021,22ʡC,Cloudy,9 km/h,73%,0%
0,11/22/2021,22ʡC,Cloudy,9 km/h,75%,0%
1,11/22/2021,21ʡC,Cloudy,9 km/h,75%,0%
2,11/22/2021,21ʡC,Cloudy,9 km/h,77%,0%
3,11/22/2021,20ʡC,Cloudy,9 km/h,77%,0%
4,11/22/2021,20ʡC,Cloudy,9 km/h,79%,0%
5,11/22/2021,19ʡC,Cloudy,9 km/h,80%,0%
6,11/22/2021,19ʡC,Sunny,9 km/h,81%,0%
7,11/22/2021,20ʡC,Sunny,10 km/h,76%,0%
8,11/22/2021,22ʡC,Sunny,11 km/h,68%,0%
9,11/22/2021,24ʡC,Sunny,10 km/h,61%,0%
13,11/22/2021,29ʡC,Sunny,10 km/h,50%,0%
14,11/22/2021,29ʡC,Sunny,10 km/h,50%,0%
15,11/22/2021,29ʡC,Sunny,10 km/h,49%,0%
16,11/22/2021,29ʡC,Sunny,10 km/h,50%,0%
17,11/22/2021,27ʡC,Sunny,9 km/h,56%,0%
18,11/22/2021,26ʡC,Clear,9 km/h,59%,0%
19,11/22/2021,24ʡC,Clear,9 km/h,63%,0%
20,11/22/2021,23ʡC,Clear,9 km/h,66%,0%
21,11/22/2021,22ʡC,Clear,10 km/h,69%,0%
22,11/22/2021,21ʡC,Clear,10 km/h,71%,0%
23,11/22/2021,21ʡC,Clear,10 km/h,73%,0%
0,11/23/2021,20ʡC,Clear,9 km/h,74%,0%
1,11/23/2021,20ʡC,Clear,9 km/h,73%,0%
2,11/23/2021,19ʡC,Clear,9 km/h,73%,0%
3,11/23/2021,18ʡC,Clear,8 km/h,72%,0%
4,11/23/2021,18ʡC,Clear,8 km/h,71%,0%
5,11/23/2021,18ʡC,Clear,8 km/h,70%,0%
6,11/23/2021,17ʡC,Sunny,8 km/h,69%,0%
7,11/23/2021,18ʡC,Sunny,9 km/h,65%,0%
8,11/23/2021,20ʡC,Sunny,9 km/h,58%,0%
9,11/23/2021,23ʡC,Sunny,9 km/h,52%,0%
10,11/23/2021,25ʡC,Sunny,8 km/h,49%,0%
11,11/23/2021,27ʡC,Sunny,8 km/h,47%,0%
12,11/23/2021,28ʡC,Sunny,9 km/h,45%,0%
8,11/23/2021,21ʡC,Sunny,9 km/h,65%,0%
9,11/23/2021,23ʡC,Sunny,9 km/h,59%,0%
10,11/23/2021,26ʡC,Sunny,7 km/h,57%,0%
11,11/23/2021,28ʡC,Sunny,6 km/h,54%,0%
12,11/23/2021,29ʡC,Sunny,9 km/h,50%,0%
13,11/23/2021,30ʡC,Sunny,11 km/h,46%,0%
14,11/23/2021,30ʡC,Sunny,12 km/h,44%,0%
15,11/23/2021,29ʡC,Sunny,12 km/h,43%,0%
16,11/23/2021,28ʡC,Sunny,11 km/h,44%,0%
17,11/23/2021,26ʡC,Sunny,10 km/h,49%,0%
18,11/23/2021,25ʡC,Clear,9 km/h,54%,0%
19,11/23/2021,23ʡC,Clear,9 km/h,59%,0%
20,11/23/2021,22ʡC,Clear,8 km/h,63%,0%
21,11/23/2021,21ʡC,Clear,9 km/h,64%,0%
22,11/23/2021,20ʡC,Clear,9 km/h,66%,0%
23,11/23/2021,20ʡC,Clear,9 km/h,66%,0%
